sample_id,VIM,CDH2,SNAI1,SNAI2,ZEB1,ZEB2,FN1,TWIST1,MMP2,MMP9,TGFB1,COL1A1,COL1A2,ACTA2,FAP,PDGFRB,CDH1,EPCAM,KRT5,KRT14,KRT8,KRT18,DSP,CLDN1,CLDN4,OCLN,TJP1,ACTB,GAPDH,TUBB,RPL13A,B2M,HPRT1,PPIA,YWHAZ,subtype_full,subtype
TCGA-CN-4728-01,15.9544,8.0516,8.5831,10.1884,10.6199,10.9229,17.8144,9.1581,14.8273,15.4466,11.7387,19.2595,18.3931,12.7065,11.1323,13.2515,13.6171,9.2662,16.5038,16.0625,11.1074,11.1187,14.9033,12.7929,12.3305,8.3878,11.2125,17.1818,16.3938,13.9653,13.0321,16.2384,9.1075,12.078,14.4927,Mesenchymal,MS
TCGA-CR-7401-01,14.7459,7.0504,7.5734,11.7345,9.3043,9.1938,15.9663,7.9875,14.5166,9.6423,11.8088,18.4851,17.7132,11.8383,10.6721,13.1102,13.2847,6.5957,19.6837,20.2745,6.8065,9.9071,16.969,11.9786,10.4925,6.8623,11.2225,16.9522,16.6447,14.68,13.163,16.2012,9.4673,12.4458,15.7808,Basal,Other
TCGA-CV-5976-01,13.6787,8.2257,6.7099,10.7363,7.9599,8.0995,16.8586,7.4574,13.3689,11.4456,11.8527,16.6015,15.5896,11.0318,10.631,11.3545,13.4439,9.8616,17.9005,17.6988,10.2762,11.529,16.4689,12.2705,11.5044,5.6466,11.4259,17.1761,16.5901,14.8905,13.1722,15.603,9.6449,11.3915,16.152,Basal,Other
TCGA-CV-7254-01,14.7972,4.7153,8.5172,9.8734,10.1632,9.9652,15.7706,8.4311,14.1124,13.3577,11.3677,17.8008,16.9993,12.4398,10.535,12.0128,11.4802,12.6847,16.2045,13.7547,13.0482,11.6873,13.7859,14.5144,12.2323,6.63,10.5222,16.5542,16.7548,14.3038,13.5652,16.4684,11.1891,11.9681,14.4027,Mesenchymal,MS
TCGA-CR-6470-01,14.0152,5.7893,6.1079,10.1737,8.7547,9.3688,14.9264,9.3744,12.7176,11.4529,11.4232,16.905,16.2528,10.9849,8.3814,11.8845,13.135,10.3122,18.2296,9.1243,13.2117,11.4652,16.0062,15.2157,11.4921,5.9183,10.9064,16.7902,16.2357,14.6982,12.9353,15.7331,9.1814,12.1712,14.4461,Atypical,Other
TCGA-CV-7437-01,12.3492,5.0168,4.2568,10.0957,7.5619,6.993,13.2898,6.1991,11.4905,8.1777,11.9782,14.8441,13.5719,10.2522,7.0945,9.9473,13.6472,11.64,18.6144,16.5911,14.2472,13.3831,15.3783,15.2335,13.4231,7.9019,10.4729,17.4918,17.8075,14.2821,13.4795,15.2584,11.3636,12.0067,14.8324,Classical,Other
TCGA-CV-7411-01,13.417,5.5287,5.9811,10.8143,7.7203,8.0761,14.822,8.1318,13.2242,11.1672,12.2529,17.0346,16.0776,11.2984,9.0577,11.0863,14.408,7.7843,20.1731,20.9206,8.545,9.519,18.3596,13.4917,13.0163,8.663,12.2065,17.7007,17.0773,14.0698,13.4863,15.6513,9.1002,12.5648,15.6934,Basal,Other
TCGA-CV-7415-01,14.5243,8.3829,7.3485,11.1442,8.4741,8.3199,15.147,8.3945,14.1284,13.0498,11.633,17.2456,16.3126,12.541,9.5046,11.5173,13.6077,10.1575,18.3897,19.3837,10.1875,10.5493,16.6531,13.1733,9.6223,6.0482,11.3094,17.4727,16.2016,14.5361,13.0335,17.0567,10.4115,12.1123,15.5403,Mesenchymal,MS
TCGA-CN-6988-01,11.4218,2.7472,5.7805,10.0404,7.2206,7.2847,12.8885,4.9015,11.3108,8.2168,11.2983,14.8544,13.9754,10.3936,6.9488,10.2621,13.8272,10.0408,16.8142,16.7825,10.8298,12.7179,15.8225,14.6341,14.0341,9.2939,12.1979,16.1507,15.99,13.2696,12.7178,13.5936,9.6962,12.1977,14.4753,Atypical,Other
TCGA-CV-5444-01,14.8158,6.9773,8.3465,11.286,10.1183,10.2119,17.376,8.8595,14.9306,11.5646,11.9127,18.705,18.0783,12.2624,10.6983,13.3088,11.7467,7.9484,18.0765,18.0436,4.8829,9.8186,15.1043,11.4396,9.3587,5.1085,10.7867,16.5933,15.8055,13.8735,12.9269,16.4805,8.8265,12.3159,14.4254,Mesenchymal,MS
